step	loss
1	0.20664449036121368
1	0.20501843094825745
2	0.2591301202774048
3	0.20808488130569458
4	0.25375643372535706
5	0.25307032465934753
6	0.26948365569114685
7	0.19111284613609314
8	0.2167108654975891
9	0.13486917316913605
10	0.19443795084953308
11	0.22399485111236572
12	0.2239680141210556
13	0.22457173466682434
14	0.13979367911815643
15	0.1500571221113205
16	0.21296460926532745
17	0.20800836384296417
18	0.19470947980880737
19	0.1907452642917633
20	0.19198815524578094
21	0.1744535267353058
22	0.18546229600906372
23	0.19709622859954834
24	0.1370619237422943
25	0.19779324531555176
26	0.14245128631591797
27	0.16320133209228516
28	0.12322977185249329
29	0.14690013229846954
30	0.16135022044181824
31	0.1696440726518631
32	0.1253240555524826
33	0.12427280098199844
34	0.1818849891424179
35	0.12662552297115326
36	0.17257271707057953
37	0.17824311554431915
38	0.19361132383346558
39	0.11222151666879654
40	0.1399528682231903
41	0.04877486824989319
42	0.11312072724103928
43	0.14470499753952026
44	0.1470765471458435
45	0.15015184879302979
46	0.057255156338214874
47	0.06790237128734589
48	0.13348744809627533
49	0.12772026658058167
50	0.11435627937316895
51	0.10773737728595734
52	0.11024432629346848
53	0.09094740450382233
54	0.10714034736156464
55	0.11890608072280884
56	0.054435063153505325
57	0.12135326117277145
58	0.06262428313493729
59	0.07905267924070358
60	0.04015270248055458
61	0.06514236330986023
62	0.07997080683708191
63	0.08913730084896088
64	0.044045589864254
65	0.04357898235321045
66	0.10470925271511078
67	0.0452529676258564
68	0.09148798882961273
69	0.10351341217756271
70	0.11784625053405762
71	0.03344254940748215
72	0.06330205500125885
73	-0.037200041115283966
74	0.03192341327667236
75	0.06552992016077042
76	0.07029025256633759
77	0.0758274644613266
78	-0.02517969161272049
79	-0.014154251664876938
80	0.05410447344183922
81	0.04752253368496895
82	0.03408674895763397
83	0.0248133335262537
84	0.028577640652656555
85	0.007516766432672739
86	0.02888212352991104
87	0.04077921807765961
88	-0.028127901256084442
89	0.0449688695371151
90	-0.01714785397052765
91	-0.005035821348428726
92	-0.042869944125413895
93	-0.0165623240172863
94	-0.0013555921614170074
95	0.008682746440172195
96	-0.037181902676820755
97	-0.03706441447138786
98	0.02758268639445305
99	-0.03606744483113289
100	0.010457525961101055
101	0.02882973849773407
102	0.04212896525859833
103	-0.045289915055036545
104	-0.013305135071277618
105	-0.12312601506710052
106	-0.049228519201278687
107	-0.013601459562778473
108	-0.006456087343394756
109	0.0015389397740364075
